policy_id,side,observation_date,available_at,earliest_tradable_open,entry_date,exit_date,fee_share,transaction_density,fee_share_z,transaction_density_z,composite,source_lag_days,fee_reference_count,density_reference_count
BFC-3,1,2021-04-17 00:00:00,2021-04-18 02:31:30,2021-04-18 02:35:00,2021-04-18 02:40:00,2021-04-21 02:40:00,-1.245912094094601,7.673361113133723,2.0675413284700337,0.1100847116299881,2.122583684285028,1.1052083333333333,180,180
BFC-3,1,2021-04-23 00:00:00,2021-04-24 04:47:03,2021-04-24 04:50:00,2021-04-24 04:55:00,2021-04-27 04:55:00,-1.1448933194644821,7.6950436061249174,2.0538441045839915,0.3651128564321366,2.23640053280006,1.1993402777777777,180,180
BFC-3,1,2021-12-30 00:00:00,2021-12-31 05:23:19,2021-12-31 05:25:00,2021-12-31 05:30:00,2022-01-03 05:30:00,-3.721960963188632,7.629934893366635,1.2073594371275278,1.1751700780880034,1.7949444761715294,1.224525462962963,180,180
BFC-3,1,2022-02-10 00:00:00,2022-02-11 05:53:23,2022-02-11 05:55:00,2022-02-11 06:00:00,2022-02-14 06:00:00,-3.834789138322687,7.482578461265271,1.5735571495143104,0.14877945939306694,1.6479468792108438,1.2454050925925926,180,180
BFC-3,1,2022-03-02 00:00:00,2022-03-03 05:31:09,2022-03-03 05:35:00,2022-03-03 05:40:00,2022-03-06 05:40:00,-3.3986151618749343,7.664833029370583,3.0030601507108172,1.3503158195281209,3.6782180604748778,1.2299652777777779,180,180
BFC-3,1,2022-03-31 00:00:00,2022-04-01 04:50:30,2022-04-01 04:55:00,2022-04-01 05:00:00,2022-04-04 05:00:00,-3.928693763403112,7.615426902071546,1.3122400935779486,1.0164684728280997,1.8204743299919985,1.2017361111111111,180,180
BFC-3,1,2022-05-05 00:00:00,2022-05-06 05:28:49,2022-05-06 05:30:00,2022-05-06 05:35:00,2022-05-09 05:35:00,-3.7934435793739465,7.6121825484933305,2.0374007166395307,1.0617959258786647,2.568298679578863,1.2283449074074073,180,180
BFC-3,1,2022-05-09 00:00:00,2022-05-10 05:48:53,2022-05-10 05:50:00,2022-05-10 05:55:00,2022-05-13 05:55:00,-3.8506913037085613,7.526276238976927,1.8492493501530494,0.4460968161016215,2.07229775820386,1.2422800925925925,180,180
BFC-3,1,2022-05-17 00:00:00,2022-05-18 05:29:44,2022-05-18 05:30:00,2022-05-18 05:35:00,2022-05-21 05:35:00,-3.8945421707807886,7.545706105198138,1.4632507652592388,0.5874876096670778,1.7569945700927776,1.2289814814814815,180,180
BFC-3,1,2022-05-24 00:00:00,2022-05-25 04:42:27,2022-05-25 04:45:00,2022-05-25 04:50:00,2022-05-28 04:50:00,-3.819882788895036,7.589921556164762,1.6126606119175948,0.9286114015403812,2.0769663126877855,1.1961458333333332,180,180
BFC-3,1,2022-06-01 00:00:00,2022-06-02 05:38:15,2022-06-02 05:40:00,2022-06-02 05:45:00,2022-06-05 05:45:00,-3.8008636830428775,7.610525130430546,1.6559504935549942,1.1464288443521429,2.2291649157310656,1.2348958333333333,180,180
BFC-3,1,2022-06-13 00:00:00,2022-06-14 05:40:35,2022-06-14 05:45:00,2022-06-14 05:50:00,2022-06-17 05:50:00,-3.3580045698303485,7.6282396557602015,2.901340780352887,1.2634049817946742,3.533043271250224,1.2365162037037036,180,180
BFC-3,1,2022-06-22 00:00:00,2022-06-23 05:16:20,2022-06-23 05:20:00,2022-06-23 05:25:00,2022-06-26 05:25:00,-3.891893600096376,7.557853342120869,1.1564198167291129,0.725303635575904,1.519071634517065,1.219675925925926,180,180
BFC-3,1,2022-07-01 00:00:00,2022-07-02 05:09:54,2022-07-02 05:10:00,2022-07-02 05:15:00,2022-07-05 05:15:00,-3.8304706487782325,7.618995255995141,1.3226283011612876,1.2220896126215917,1.9336731074720834,1.2152083333333332,180,180
BFC-3,1,2022-07-05 00:00:00,2022-07-06 05:04:25,2022-07-06 05:05:00,2022-07-06 05:10:00,2022-07-09 05:10:00,-3.628735836942747,7.636420923649013,1.8555682973802905,1.356345562859672,2.5337410788101264,1.2114004629629629,180,180
BFC-3,1,2022-07-13 00:00:00,2022-07-14 05:12:59,2022-07-14 05:15:00,2022-07-14 05:20:00,2022-07-17 05:20:00,-3.362782125389606,7.626649947927798,2.418656141523995,1.2477241323172579,3.0425182076826243,1.217349537037037,180,180
