policy_id,side,observation_date,available_at,earliest_tradable_open,entry_date,exit_date,fanout,breadth,fanout_change,breadth_change,fanout_z,breadth_z,composite,source_lag_days,fanout_reference_count,breadth_reference_count
NTB-7,1,2021-03-08 00:00:00,2021-03-09 03:32:56,2021-03-09 03:35:00,2021-03-09 03:40:00,2021-03-16 03:40:00,1.073647250621931,0.3017579246542108,-0.06289582114557568,0.0897645928641971,-1.9417204973679254,1.3508904650801576,3.292610962448083,1.1478703703703703,180,180
NTB-7,1,2021-03-24 00:00:00,2021-03-25 03:08:07,2021-03-25 03:10:00,2021-03-25 03:15:00,2021-04-01 03:15:00,1.1138742554256749,0.22683596208230614,-0.06892645142546061,0.06986240530862473,-2.0001874086551004,1.0457722727339536,3.045959681389054,1.130636574074074,180,180
NTB-7,1,2021-04-23 00:00:00,2021-04-24 04:47:03,2021-04-24 04:50:00,2021-04-24 04:55:00,2021-05-01 04:55:00,1.1523024256225678,0.1710084561231075,-0.22215009901846505,0.09422456817177534,-5.145826167380677,1.509108162906138,6.654934330286815,1.1993402777777777,180,180
NTB-7,1,2021-05-03 00:00:00,2021-05-04 03:55:41,2021-05-04 04:00:00,2021-05-04 04:05:00,2021-05-11 04:05:00,1.1167547018778665,0.3659093066896767,-0.0703063417123666,0.19195276589869173,-1.3437957877736033,2.750273420720872,4.094069208494475,1.1636689814814816,180,180
NTB-7,1,2021-05-28 00:00:00,2021-05-29 04:18:23,2021-05-29 04:20:00,2021-05-29 04:25:00,2021-06-05 04:25:00,1.2085376531589072,0.2890133235576184,-0.07309481590547184,0.14204488740685392,-1.4412285587404488,2.0974350761162905,3.5386636348567393,1.1794328703703705,180,180
NTB-7,1,2021-06-12 00:00:00,2021-06-13 04:40:51,2021-06-13 04:45:00,2021-06-13 04:50:00,2021-06-20 04:50:00,1.1341047816184788,0.37598804141005526,-0.04590290047667911,0.18093663721049333,-0.9089274504368094,2.410915311641992,3.3198427620788014,1.1950347222222222,180,180
NTB-7,1,2021-07-03 00:00:00,2021-07-04 05:15:10,2021-07-04 05:20:00,2021-07-04 05:25:00,2021-07-11 05:25:00,1.0947938989106083,0.38304210219999596,-0.07544911600469972,0.17765040518863623,-1.377428153643031,2.4089595611580124,3.7863877148010436,1.2188657407407408,180,180
NTB-7,1,2021-10-19 00:00:00,2021-10-20 04:05:45,2021-10-20 04:10:00,2021-10-20 04:15:00,2021-10-27 04:15:00,1.036727563827907,0.2075673259086381,-0.05826110568756793,0.0762246234736366,-1.0876907540204586,0.8971944989476285,1.9848852529680872,1.1706597222222221,180,180
NTB-7,1,2021-11-09 00:00:00,2021-11-10 03:09:41,2021-11-10 03:10:00,2021-11-10 03:15:00,2021-11-17 03:15:00,1.02331210127728,0.24342007558923853,-0.044993985781867085,0.07635501182522986,-1.2441603302569062,1.0510572169228078,2.295217547179714,1.131724537037037,180,180
NTB-7,1,2021-12-02 00:00:00,2021-12-03 03:05:17,2021-12-03 03:10:00,2021-12-03 03:15:00,2021-12-10 03:15:00,1.0816861945266432,0.24124209177448144,-0.025334462046031403,0.12998430147411957,-0.756812200393069,1.884019044314942,2.640831244708011,1.1286689814814814,180,180
NTB-7,1,2021-12-17 00:00:00,2021-12-18 05:27:49,2021-12-18 05:30:00,2021-12-18 05:35:00,2021-12-25 05:35:00,1.1101225434856106,0.21527498767011197,-0.041569927647263416,0.1324659615293242,-1.350562721957518,1.9521960739213198,3.302758795878838,1.227650462962963,180,180
NTB-7,1,2022-01-02 00:00:00,2022-01-03 05:31:12,2022-01-03 05:35:00,2022-01-03 05:40:00,2022-01-10 05:40:00,1.1617845560555338,0.16522234178212483,-0.052256248505103464,0.034447679288728855,-1.86431505404709,0.5645913198738024,2.4289063739208925,1.23,180,180
NTB-7,1,2022-01-12 00:00:00,2022-01-13 05:20:57,2022-01-13 05:25:00,2022-01-13 05:30:00,2022-01-20 05:30:00,1.0813719174439518,0.1986839889064533,-0.06425822359509525,0.029233428265654726,-2.364016291538282,0.502645238127206,2.866661529665488,1.2228819444444445,180,180
NTB-7,1,2022-02-06 00:00:00,2022-02-07 05:31:21,2022-02-07 05:35:00,2022-02-07 05:40:00,2022-02-14 05:40:00,1.13777323343946,0.25356691917775076,-0.024835025378781905,0.09816387042884336,-0.9665788013194682,1.550582187262769,2.517160988582237,1.2301041666666668,180,180
