policy_id,side,observation_date,available_at,earliest_tradable_open,entry_date,exit_date,HashRate,BlkCnt,hash_change,hash_change_z,prior_hash_change_z,recent_stress_min_z,cadence_short,cadence_reference,cadence_gap,source_lag_days,hash_reference_count
MCR-7,1,2021-03-07 00:00:00,2021-03-08 03:29:32,2021-03-08 03:30:00,2021-03-08 03:35:00,2021-03-15 03:35:00,155665152.077238,146,0.09562980345922156,0.7060960294370845,-0.41229895667887856,-1.643442711858428,5.003811149500024,4.973802745007703,0.030008404492321006,1.1455092592592593,180
MCR-7,1,2021-03-14 00:00:00,2021-03-15 04:29:05,2021-03-15 04:30:00,2021-03-15 04:35:00,2021-03-22 04:35:00,167393348.624358,157,0.07263918458229668,0.5399824997179649,-0.5350072991679898,-1.643442711858428,5.009908576568157,4.96404092466164,0.04586765190651665,1.1868634259259259,180
MCR-7,1,2021-04-15 00:00:00,2021-04-16 05:26:56,2021-04-16 05:30:00,2021-04-16 05:35:00,2021-04-23 05:35:00,198624496.428596,172,0.25366794938937787,2.055279062329073,-1.3099080616640446,-1.3099080616640446,5.002865437617714,4.997677523378581,0.005187914239133562,1.227037037037037,180
MCR-7,1,2021-04-30 00:00:00,2021-05-01 03:57:29,2021-05-01 04:00:00,2021-05-01 04:05:00,2021-05-08 04:05:00,169978664.36474,145,0.07145895956834991,0.4160909351258372,-1.2554057036558777,-4.255307900075076,4.912193948251697,4.903188965929996,0.009004982321701327,1.1649189814814815,180
MCR-7,1,2021-05-10 00:00:00,2021-05-11 04:10:37,2021-05-11 04:15:00,2021-05-11 04:20:00,2021-05-18 04:20:00,184404830.108382,180,0.016807115604521528,0.030547245271891548,-0.056153885296229965,-1.2554057036558777,5.186789027035357,4.9492588947846095,0.2375301322507477,1.174039351851852,180
MCR-7,1,2021-06-02 00:00:00,2021-06-03 03:22:50,2021-06-03 03:25:00,2021-06-03 03:30:00,2021-06-10 03:30:00,173683868.401641,166,0.13402588947036875,0.9832007619288287,-0.2688247636746231,-2.2559955741381676,5.005524912111991,4.93488381748332,0.07064109462867041,1.1408564814814814,180
MCR-7,1,2021-06-17 00:00:00,2021-06-18 03:47:09,2021-06-18 03:50:00,2021-06-18 03:55:00,2021-06-25 03:55:00,128812374.453795,130,0.0424232567720324,0.3302842920231586,-0.5790390650970135,-2.15399317102516,4.851638709676384,4.846129498392815,0.005509211283568405,1.1577430555555555,180
MCR-7,1,2021-07-14 00:00:00,2021-07-15 04:14:00,2021-07-15 04:15:00,2021-07-15 04:20:00,2021-07-22 04:20:00,121378279.875892,170,0.32361408154011784,2.255754611547074,-0.17083463313269243,-1.2291384285256404,4.9615784099125975,4.715984071465891,0.24559433844670675,1.176388888888889,180
MCR-7,1,2021-07-22 00:00:00,2021-07-23 03:09:52,2021-07-23 03:10:00,2021-07-23 03:15:00,2021-07-30 03:15:00,103989257.219232,153,0.12914382457162077,0.9288370279981903,-1.2600208269594575,-1.2600208269594575,4.937064236182089,4.770135837715517,0.16692839846657215,1.1318518518518519,180
MCR-7,1,2021-09-28 00:00:00,2021-09-29 04:21:35,2021-09-29 04:25:00,2021-09-29 04:30:00,2021-10-06 04:30:00,143545436.005056,152,0.2298070117027926,1.495120945275762,-0.11279921718166264,-1.8670359721205152,5.000593190298738,4.999151919593003,0.001441270705734965,1.1816550925925926,180
MCR-7,1,2021-10-13 00:00:00,2021-10-14 03:11:55,2021-10-14 03:15:00,2021-10-14 03:20:00,2021-10-21 03:20:00,167122178.838895,169,0.2547013932179212,1.6402393529150876,-1.2181766571368637,-1.2181766571368637,5.003781712194107,4.999169928036054,0.004611784158052856,1.1332754629629629,180
MCR-7,1,2021-10-21 00:00:00,2021-10-22 03:55:21,2021-10-22 04:00:00,2021-10-22 04:05:00,2021-10-29 04:05:00,147749067.493081,148,0.08670797712856526,0.5621918010158408,-0.8045614088628912,-1.2181766571368637,5.014861232209607,4.990453198019286,0.024408034190321004,1.1634375,180
MCR-7,1,2021-12-11 00:00:00,2021-12-12 08:15:58,2021-12-12 08:20:00,2021-12-12 08:25:00,2021-12-19 08:25:00,176623989.860564,151,0.02595726708548085,0.1051709232440769,-0.6312033030565677,-1.1280850334985868,5.053628681623741,4.999241477456866,0.05438720416687559,1.3444212962962963,180
MCR-7,1,2021-12-25 00:00:00,2021-12-26 04:59:41,2021-12-26 05:00:00,2021-12-26 05:05:00,2022-01-02 05:05:00,177168715.849691,147,0.1404580838009828,0.9708153946068825,-0.07054169496791911,-2.0792489855071237,5.010530981479979,4.991707972495356,0.01882300898462308,1.2081134259259259,180
MCR-7,1,2022-01-04 00:00:00,2022-01-05 05:17:56,2022-01-05 05:20:00,2022-01-05 05:25:00,2022-01-12 05:25:00,177367872.132974,147,0.09259277878639338,0.5822993201327543,-0.6929366888268055,-2.310998478829762,4.9982233474716695,4.99356548678398,0.004657860687689919,1.220787037037037,180
MCR-7,1,2022-01-11 00:00:00,2022-01-12 07:15:23,2022-01-12 07:20:00,2022-01-12 07:25:00,2022-01-19 07:25:00,191422128.048776,158,0.07625513450053845,0.47155671193113224,-0.042126120170368674,-2.310998478829762,4.989060660335465,4.967546562813644,0.021514097521820652,1.302349537037037,180
MCR-7,1,2022-01-19 00:00:00,2022-01-20 04:54:22,2022-01-20 04:55:00,2022-01-20 05:00:00,2022-01-27 05:00:00,209595115.507191,173,0.21881765998978864,1.687171121051051,-1.54499696650881,-1.7008308701024557,5.049116948406098,5.003645313010835,0.045471635395263554,1.2044212962962964,180
MCR-7,1,2022-02-02 00:00:00,2022-02-03 04:53:53,2022-02-03 04:55:00,2022-02-03 05:00:00,2022-02-10 05:00:00,202639308.202866,153,0.16290346847531723,1.2247343173437366,-0.07181811950831553,-1.928862057591267,5.010078384688657,5.003191057787254,0.006887326901402702,1.2040856481481481,180
MCR-7,1,2022-02-14 00:00:00,2022-02-15 05:00:40,2022-02-15 05:05:00,2022-02-15 05:10:00,2022-02-22 05:10:00,202999360.914786,153,0.11778304036226928,0.804515879174926,-0.06258349221553862,-2.08265411785186,5.108047190424663,4.998287027601666,0.1097601628229965,1.2087962962962964,180
MCR-7,1,2022-03-03 00:00:00,2022-03-04 05:36:58,2022-03-04 05:40:00,2022-03-04 05:45:00,2022-03-11 05:45:00,204804563.214904,148,0.10976728517017165,0.760227363661997,-0.9435451402078955,-1.6579495333890624,4.999154498244184,4.982132990636027,0.017021507608156128,1.2340046296296296,180
MCR-7,1,2022-03-12 00:00:00,2022-03-13 04:45:19,2022-03-13 04:50:00,2022-03-13 04:55:00,2022-03-20 04:55:00,213647371.4052,156,0.23767164489775894,1.842684047247476,-0.1693342899010658,-1.5651992662083607,4.984614478275772,4.975437876421733,0.009176601854039568,1.1981365740740741,180
MCR-7,1,2022-03-25 00:00:00,2022-03-26 05:34:18,2022-03-26 05:35:00,2022-03-26 05:40:00,2022-04-02 05:40:00,212890313.603094,156,0.08701136943718168,0.5986800365460409,-1.0336676055317495,-1.0336676055317495,4.996478126643339,4.9725248325374585,0.02395329410588065,1.2321527777777779,180
