setup_position,confirmation_end_position,entry_position,exit_position,side,setup_bar_date,confirmation_end_bar_date,signal_available_at,entry_date,exit_date,um_confirmation_displacement_bp,spot_confirmation_displacement_bp,confirmation_churn_bars
311219,311225,311227,311323,-1,2022-12-16 14:55:00,2022-12-16 15:25:00,2022-12-16 15:30:00,2022-12-16 15:35:00,2022-12-16 23:35:00,56.50755297119,57.37227267320999,3
312646,312652,312654,312750,1,2022-12-21 13:50:00,2022-12-21 14:20:00,2022-12-21 14:25:00,2022-12-21 14:30:00,2022-12-21 22:30:00,4.214640017867,3.5127405766215,6
318825,318831,318833,318929,1,2023-01-12 00:45:00,2023-01-12 01:15:00,2023-01-12 01:20:00,2023-01-12 01:25:00,2023-01-12 09:25:00,123.14153293388001,124.56468847016,4
322050,322056,322058,322154,-1,2023-01-23 05:30:00,2023-01-23 06:00:00,2023-01-23 06:05:00,2023-01-23 06:10:00,2023-01-23 14:10:00,9.644285187920001,10.5661904135449,3
325144,325150,325152,325248,-1,2023-02-02 23:20:00,2023-02-02 23:50:00,2023-02-02 23:55:00,2023-02-03 00:00:00,2023-02-03 08:00:00,12.851292033250001,14.353715964669998,4
328238,328244,328246,328342,-1,2023-02-13 17:10:00,2023-02-13 17:40:00,2023-02-13 17:45:00,2023-02-13 17:50:00,2023-02-14 01:50:00,17.98302749699,18.615265046189997,4
328864,328870,328872,328968,1,2023-02-15 21:20:00,2023-02-15 21:50:00,2023-02-15 21:55:00,2023-02-15 22:00:00,2023-02-16 06:00:00,14.410854237690003,13.55875471524,5
329083,329089,329091,329187,1,2023-02-16 15:35:00,2023-02-16 16:05:00,2023-02-16 16:10:00,2023-02-16 16:15:00,2023-02-17 00:15:00,54.26424413093997,55.11885955144001,3
330596,330602,330604,330700,-1,2023-02-21 21:40:00,2023-02-21 22:10:00,2023-02-21 22:15:00,2023-02-21 22:20:00,2023-02-22 06:20:00,11.046807482860004,7.65509439959,3
335269,335275,335277,335373,1,2023-03-10 03:05:00,2023-03-10 03:35:00,2023-03-10 03:40:00,2023-03-10 03:45:00,2023-03-10 11:45:00,18.894375438228,19.467265106844,3
336184,336190,336192,336288,1,2023-03-13 07:20:00,2023-03-13 07:50:00,2023-03-13 07:55:00,2023-03-13 08:00:00,2023-03-13 16:00:00,5.397959901921002,3.24252872848,6
337799,337805,337807,337903,-1,2023-03-18 21:55:00,2023-03-18 22:25:00,2023-03-18 22:30:00,2023-03-18 22:35:00,2023-03-19 06:35:00,10.856144341928998,9.879308519385,4
338159,338165,338167,338263,1,2023-03-20 03:55:00,2023-03-20 04:25:00,2023-03-20 04:30:00,2023-03-20 04:35:00,2023-03-20 12:35:00,49.575680465089995,52.57286481029,3
338268,338274,338276,338372,-1,2023-03-20 13:00:00,2023-03-20 13:30:00,2023-03-20 13:35:00,2023-03-20 13:40:00,2023-03-20 21:40:00,60.274369526491,62.42123972126,4
339523,339529,339531,339627,1,2023-03-24 21:35:00,2023-03-24 22:05:00,2023-03-24 22:10:00,2023-03-24 22:15:00,2023-03-25 06:15:00,83.50539277318,84.63315174551998,4
344890,344896,344898,344994,-1,2023-04-12 12:50:00,2023-04-12 13:20:00,2023-04-12 13:25:00,2023-04-12 13:30:00,2023-04-12 21:30:00,0.5300297602000015,1.066267441002001,3
347184,347190,347192,347288,1,2023-04-20 12:00:00,2023-04-20 12:30:00,2023-04-20 12:35:00,2023-04-20 12:40:00,2023-04-20 20:40:00,55.439872918999995,57.5988383178,3
349498,349504,349506,349602,1,2023-04-28 12:50:00,2023-04-28 13:20:00,2023-04-28 13:25:00,2023-04-28 13:30:00,2023-04-28 21:30:00,10.618260580988998,9.527717345487,4
350446,350452,350454,350550,-1,2023-05-01 19:50:00,2023-05-01 20:20:00,2023-05-01 20:25:00,2023-05-01 20:30:00,2023-05-02 04:30:00,9.589705031369999,5.6220489549699995,3
351005,351011,351013,351109,-1,2023-05-03 18:25:00,2023-05-03 18:55:00,2023-05-03 19:00:00,2023-05-03 19:05:00,2023-05-04 03:05:00,27.5038709354,25.739828743658997,4
353238,353244,353246,353342,-1,2023-05-11 12:30:00,2023-05-11 13:00:00,2023-05-11 13:05:00,2023-05-11 13:10:00,2023-05-11 21:10:00,27.688520371759992,28.85313196,3
353537,353543,353545,353641,1,2023-05-12 13:25:00,2023-05-12 13:55:00,2023-05-12 14:00:00,2023-05-12 14:05:00,2023-05-12 22:05:00,11.9605658716,11.500003002599998,3
359675,359681,359683,359779,-1,2023-06-02 20:55:00,2023-06-02 21:25:00,2023-06-02 21:30:00,2023-06-02 21:35:00,2023-06-03 05:35:00,2.3567802716,2.5359414860700005,3
360508,360514,360516,360612,-1,2023-06-05 18:20:00,2023-06-05 18:50:00,2023-06-05 18:55:00,2023-06-05 19:00:00,2023-06-06 03:00:00,30.662546062500002,31.260997563849998,4
360725,360731,360733,360829,-1,2023-06-06 12:25:00,2023-06-06 12:55:00,2023-06-06 13:00:00,2023-06-06 13:05:00,2023-06-06 21:05:00,6.344879890860003,6.667422581340002,3
361473,361479,361481,361577,1,2023-06-09 02:45:00,2023-06-09 03:15:00,2023-06-09 03:20:00,2023-06-09 03:25:00,2023-06-09 11:25:00,9.49483193188,7.638389738210001,5
365040,365046,365048,365144,1,2023-06-21 12:00:00,2023-06-21 12:30:00,2023-06-21 12:35:00,2023-06-21 12:40:00,2023-06-21 20:40:00,35.48704328724,34.017200813420004,4
371504,371510,371512,371608,1,2023-07-13 22:40:00,2023-07-13 23:10:00,2023-07-13 23:15:00,2023-07-13 23:20:00,2023-07-14 07:20:00,26.033149863530006,27.200132727528,5
372821,372827,372829,372925,-1,2023-07-18 12:25:00,2023-07-18 12:55:00,2023-07-18 13:00:00,2023-07-18 13:05:00,2023-07-18 21:05:00,20.39847400424,21.994343236459997,3
374464,374470,374472,374568,1,2023-07-24 05:20:00,2023-07-24 05:50:00,2023-07-24 05:55:00,2023-07-24 06:00:00,2023-07-24 14:00:00,0.8730493275110001,0.5940984581600006,4
374649,374655,374657,374753,1,2023-07-24 20:45:00,2023-07-24 21:15:00,2023-07-24 21:20:00,2023-07-24 21:25:00,2023-07-25 05:25:00,2.4372285056760004,1.1940830128990005,5
377498,377504,377506,377602,1,2023-08-03 18:10:00,2023-08-03 18:40:00,2023-08-03 18:45:00,2023-08-03 18:50:00,2023-08-04 02:50:00,9.111625071210998,9.591244515004,5
381532,381538,381540,381636,-1,2023-08-17 18:20:00,2023-08-17 18:50:00,2023-08-17 18:55:00,2023-08-17 19:00:00,2023-08-18 03:00:00,28.614299829739995,29.301572564889995,3
383327,383333,383335,383431,1,2023-08-23 23:55:00,2023-08-24 00:25:00,2023-08-24 00:30:00,2023-08-24 00:35:00,2023-08-24 08:35:00,21.665340074045,21.72218377060762,5
386779,386785,386787,386883,1,2023-09-04 23:35:00,2023-09-05 00:05:00,2023-09-05 00:10:00,2023-09-05 00:15:00,2023-09-05 08:15:00,3.098341747898,2.3922857842600003,4
391725,391731,391733,391829,1,2023-09-22 03:45:00,2023-09-22 04:15:00,2023-09-22 04:20:00,2023-09-22 04:25:00,2023-09-22 12:25:00,6.8001255469,7.74723517768,4
393328,393334,393336,393432,-1,2023-09-27 17:20:00,2023-09-27 17:50:00,2023-09-27 17:55:00,2023-09-27 18:00:00,2023-09-28 02:00:00,0.5340076558610019,0.041924673989997885,4
395925,395931,395933,396029,-1,2023-10-06 17:45:00,2023-10-06 18:15:00,2023-10-06 18:20:00,2023-10-06 18:25:00,2023-10-07 02:25:00,20.70827065375,19.55158793809,5
399713,399719,399721,399817,-1,2023-10-19 21:25:00,2023-10-19 21:55:00,2023-10-19 22:00:00,2023-10-19 22:05:00,2023-10-20 06:05:00,12.828427162416002,13.139830412030001,4
400783,400789,400791,400887,1,2023-10-23 14:35:00,2023-10-23 15:05:00,2023-10-23 15:10:00,2023-10-23 15:15:00,2023-10-23 23:15:00,38.723629886219996,37.817002242769995,4
403443,403449,403451,403547,1,2023-11-01 20:15:00,2023-11-01 20:45:00,2023-11-01 20:50:00,2023-11-01 20:55:00,2023-11-02 04:55:00,122.7516130093,114.43631841185001,4
405819,405825,405827,405923,1,2023-11-10 02:15:00,2023-11-10 02:45:00,2023-11-10 02:50:00,2023-11-10 02:55:00,2023-11-10 10:55:00,29.470901056900004,28.043745643180003,3
409248,409254,409256,409352,1,2023-11-22 00:00:00,2023-11-22 00:30:00,2023-11-22 00:35:00,2023-11-22 00:40:00,2023-11-22 08:40:00,69.59647624619001,68.63546820286001,6
413419,413425,413427,413523,1,2023-12-06 11:35:00,2023-12-06 12:05:00,2023-12-06 12:10:00,2023-12-06 12:15:00,2023-12-06 20:15:00,87.87884351477,88.70093916411,4
413735,413741,413743,413839,1,2023-12-07 13:55:00,2023-12-07 14:25:00,2023-12-07 14:30:00,2023-12-07 14:35:00,2023-12-07 22:35:00,19.533935579509,19.957154344578,3
413871,413877,413879,413975,1,2023-12-08 01:15:00,2023-12-08 01:45:00,2023-12-08 01:50:00,2023-12-08 01:55:00,2023-12-08 09:55:00,2.349710416410999,2.9322253637500006,3
416053,416059,416061,416157,-1,2023-12-15 15:05:00,2023-12-15 15:35:00,2023-12-15 15:40:00,2023-12-15 15:45:00,2023-12-15 23:45:00,90.752802698652,90.59931614005001,4
