DAY,GPRD,GPRD_ACT,GPRD_THREAT
19850101,230.0394287109375,275.1976013183594,153.02798461914062
19850102,115.67697143554688,146.77206420898438,87.44457244873047
19850103,97.42845916748047,158.93765258789062,29.45993423461914
19850104,157.36663818359375,156.8822479248047,157.02635192871094
19850105,81.36131286621094,92.6981430053711,77.31940460205078
19850106,167.3013916015625,166.7864227294922,208.67453002929688
19850107,105.3128433227539,57.26655197143555,143.29788208007812
19850108,87.40283966064453,34.85352325439453,130.8207550048828
19850109,121.40300750732422,103.73941040039062,129.79336547851562
19850110,140.62786865234375,77.88611602783203,181.9011993408203
19850111,94.85326385498047,130.93101501464844,72.80626678466797
19850112,95.55484008789062,42.33809280395508,123.59953308105469
19850113,91.78398895263672,16.63663101196289,138.76593017578125
19850114,211.6362762451172,183.46507263183594,229.5419921875
19850115,97.16864776611328,105.67588806152344,102.83480834960938
19850116,106.32933807373047,114.15604400634766,95.21741485595703
19850117,54.68861770629883,62.308895111083984,38.97882843017578
19850118,111.21331024169922,63.3548469543457,132.11048889160156
19850119,51.59762954711914,41.15104293823242,68.6480712890625
19850120,77.84101867675781,68.97903442382812,86.30298614501953
19850121,138.4081268310547,183.9761199951172,76.72712707519531
19850122,51.75886917114258,61.919464111328125,34.431297302246094
19850123,124.84551239013672,82.97415161132812,138.4172821044922
19850124,83.65069580078125,50.03593063354492,97.3814468383789
19850125,70.1815185546875,13.993098258972168,105.04463195800781
19850126,54.12692642211914,43.168251037597656,72.01317596435547
19850127,63.70322799682617,47.63035583496094,66.21403503417969
19850128,101.4992904663086,36.795223236083984,138.10882568359375
19850129,76.81316375732422,114.86508178710938,47.90441131591797
19850130,16.15886688232422,0.0,26.873207092285156
19850131,111.48065185546875,111.13750457763672,119.18526458740234
19850201,106.61137390136719,106.28321075439453,88.65069580078125
19850202,119.37181091308594,99.1703109741211,132.34854125976562
19850203,112.1636962890625,104.36388397216797,124.35682678222656
19850204,80.3587875366211,89.01270294189453,89.0944595336914
19850205,174.88711547851562,123.06974029541016,239.52207946777344
19850206,124.2212905883789,49.53556823730469,165.2702178955078
19850207,130.9619903564453,76.79933166503906,153.73974609375
19850208,147.8824920654297,103.19910430908203,172.156494140625
19850209,123.83430480957031,144.02865600585938,120.13411712646484
19850210,133.9915008544922,89.0527114868164,185.69688415527344
19850211,139.1835174560547,111.00408172607422,154.31393432617188
19850212,153.86244201660156,126.3202133178711,150.5193328857422
19850213,109.63581848144531,140.52642822265625,78.14195251464844
19850214,80.20745086669922,63.96845245361328,80.03401184082031
19850215,83.9590835571289,60.87320327758789,88.8549575805664
19850216,63.09653091430664,62.902313232421875,52.466739654541016
19850217,68.30036163330078,51.067596435546875,70.99236297607422
19850218,128.75704956054688,163.36819458007812,77.86582946777344
19850219,100.10506439208984,72.57958984375,136.21173095703125
19850220,64.5904541015625,36.795223236083984,92.07255554199219
19850221,85.59606170654297,102.39910888671875,56.94064712524414
19850222,157.74131774902344,104.83718872070312,174.88914489746094
19850223,200.44200134277344,126.20527648925781,228.07994079589844
19850224,91.59173583984375,76.09150695800781,114.24209594726562
19850225,100.12799072265625,99.81978607177734,97.13615417480469
19850226,125.18424224853516,115.19900512695312,112.10189819335938
19850227,120.73139953613281,75.22486114501953,150.58790588378906
19850228,144.7238311767578,144.2783660888672,133.71377563476562
19850301,146.57379150390625,131.51036071777344,134.0687713623047
19850302,149.52561950683594,68.79940032958984,191.2849884033203
19850303,77.75981140136719,15.504091262817383,116.38748168945312
19850304,82.60767364501953,115.29475402832031,68.69086456298828
