document_class,meeting_date,release_date,last_update_date,encoding,source_eligible,official_url,index_url
fomc_minutes,2013-07-31,2013-08-21,2013-08-21,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20130731.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2013.htm
fomc_statement,2013-09-18,2013-09-18,2013-09-18,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20130918a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2013.htm
fomc_minutes,2013-09-18,2013-10-09,2013-10-09,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20130918.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2013.htm
fomc_statement,2013-10-30,2013-10-30,2013-10-30,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20131030a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2013.htm
fomc_minutes,2013-10-30,2013-11-20,2013-11-20,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20131030.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2013.htm
fomc_statement,2013-12-18,2013-12-18,2013-12-18,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20131218a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2013.htm
fomc_minutes,2013-12-18,2014-01-08,2014-01-08,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20131218.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2013.htm
fomc_statement,2014-01-29,2014-01-29,2014-01-29,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20140129a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2014.htm
fomc_minutes,2014-01-29,2014-02-19,2014-02-19,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20140129.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2014.htm
fomc_statement,2014-03-19,2014-03-19,2014-03-19,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20140319a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2014.htm
fomc_minutes,2014-03-19,2014-04-09,2014-04-09,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20140319.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2014.htm
fomc_statement,2014-04-30,2014-04-30,2014-04-30,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20140430a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2014.htm
fomc_minutes,2014-04-30,2014-05-21,2014-05-21,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20140430.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2014.htm
fomc_statement,2014-06-18,2014-06-18,2014-06-18,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20140618a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2014.htm
fomc_minutes,2014-06-18,2014-07-09,2014-07-09,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20140618.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2014.htm
fomc_statement,2014-07-30,2014-07-30,2014-07-30,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20140730a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2014.htm
fomc_minutes,2014-07-30,2014-08-20,2014-08-20,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20140730.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2014.htm
fomc_statement,2014-09-17,2014-09-17,2014-09-17,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20140917a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2014.htm
fomc_minutes,2014-09-17,2014-10-08,2014-10-08,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20140917.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2014.htm
fomc_statement,2014-10-29,2014-10-29,2014-10-29,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20141029a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2014.htm
fomc_minutes,2014-10-29,2014-11-19,2014-11-19,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20141029.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2014.htm
fomc_statement,2014-12-17,2014-12-17,2014-12-17,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20141217a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2014.htm
fomc_minutes,2014-12-17,2015-01-07,2015-01-07,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20141217.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2014.htm
fomc_statement,2015-01-28,2015-01-28,2015-01-28,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20150128a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2015.htm
fomc_minutes,2015-01-28,2015-02-18,2015-02-18,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20150128.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2015.htm
fomc_statement,2015-03-18,2015-03-18,2015-03-18,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20150318a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2015.htm
fomc_minutes,2015-03-18,2015-04-08,2015-04-08,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20150318.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2015.htm
fomc_statement,2015-04-29,2015-04-29,2015-04-29,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20150429a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2015.htm
fomc_minutes,2015-04-29,2015-05-20,2015-05-20,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20150429.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2015.htm
fomc_statement,2015-06-17,2015-06-17,2015-06-17,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20150617a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2015.htm
fomc_minutes,2015-06-17,2015-07-08,2015-07-08,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20150617.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2015.htm
fomc_statement,2015-07-29,2015-07-29,2015-07-29,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20150729a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2015.htm
fomc_minutes,2015-07-29,2015-08-19,2015-08-19,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20150729.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2015.htm
